dominio,funcao,proposito,tipo_trigger,verify_jwt,chamadores,tabelas_supabase,env_vars,apis_externas,suspeita_morta,desativada_410
IA/Dra LIA/Copilot,test-api-viewer,Viewer API debug,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,,,False,False
Meta/Zernio/Leads,meta-lead-ads-backfill,Backfill one-shot: enriquece leads do CDP com field_data original do formulário Meta,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"cron_state, lia_attendances, system_health_logs","META_LEAD_ADS_TOKEN, PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, graph.facebook.com",False,False
Meta/Zernio/Leads,meta-lead-ads-pull,Pull round-robin serializado de Lead Ads Meta (cron a cada minuto),cron,true(default),(NENHUM chamador encontrado),"cron_state, meta_lead_event_buffer, system_health_logs","META_LEAD_ADS_TOKEN, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, graph.facebook.com",True,True
Meta/Zernio/Leads,meta-sem-crm-reprocess-worker,Worker que processa fila meta_sem_crm_reprocess_queue a cada 30 min,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"deals, lia_attendances, meta_sem_crm_reprocess_queue, system_health_logs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Meta/Zernio/Leads,meta-sem-crm-seed,Seed one-shot de 355 leads na fila de reprocessamento,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),meta_sem_crm_reprocess_queue,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,True
Meta/Zernio/Leads,smart-ops-sellflux-sync,Sync canônico Sellflux,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,,,False,True
Meta/Zernio/Leads,smart-ops-zernio-lead-webhook,Webhook de leads via Zernio,webhook,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"lead_activity_log, system_health_logs, zernio_leadgen_dedup","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_WEBHOOK_SECRET",esm.sh,False,False
Meta/Zernio/Leads,zernio-provision-flow,Provisiona fluxo Zernio,http,true(default),(NENHUM chamador encontrado),social_flows,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_API_KEY","esm.sh, zernio.com",True,False
Omie/ERP,omie-api-explorer,Explorador da API Omie,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,"OMIE_APP_KEY, OMIE_APP_SECRET","app.omie.com.br, deno.land",False,False
Omie/ERP,omie-lead-enricher,Enriquece lead com dados Omie,cron,false,pg_cron: 30 20 * * * (omie-sync-evening),"deal_items, deal_status_history, lia_attendances, omie_parcelas, omie_sync_cursors","OMIE_APP_KEY, OMIE_APP_SECRET, SELLFLUX_WEBHOOK_URL, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","app.omie.com.br, deno.land, esm.sh",False,False
PipeRun/CRM,fix-piperun-links,Corrige links PipeRun,http,true(default),(NENHUM chamador encontrado),lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","app.pipe.run, esm.sh",True,False
PipeRun/CRM,piperun-api-test,Teste de API PipeRun,http,true(default),(NENHUM chamador encontrado),,PIPERUN_API_KEY,api.pipe.run,True,False
PipeRun/CRM,piperun-deal-diag,Diagnóstico de deal,http,true(default),(NENHUM chamador encontrado),,PIPERUN_API_KEY,,True,False
PipeRun/CRM,piperun-equipment-backfill,Backfill de custom fields de equipamento (impressora/scanner) no PipeRun,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),lia_attendances,"PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",api.pipe.run,False,False
PipeRun/CRM,piperun-full-sync,Sync completo PipeRun,http,false,src: src/pages/AdminViewSecure.tsx:93,lia_attendances,"PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,piperun-list-pipelines,Lista pipelines/etapas do PipeRun (utilitário de diagnóstico),http,false,src: src/hooks/piperun/usePiperunPipelines.ts:11,,PIPERUN_API_KEY,api.pipe.run,False,False
PipeRun/CRM,piperun-mirror-import,Importa espelho de dados do PipeRun,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,piperun-offline-enrich,Enrich offline de cache PipeRun,cron,true(default),(NENHUM chamador encontrado),lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
PipeRun/CRM,piperun-person-contact-backfill,Backfill contatos da person,http,true(default),(NENHUM chamador encontrado),"lia_attendances, system_health_logs","PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
PipeRun/CRM,piperun-person-empty-sweeper,Limpa persons vazias,cron,true(default),(NENHUM chamador encontrado),"lia_attendances, system_health_logs","PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
PipeRun/CRM,piperun-vendas-open-recon,Reconciliação de deals abertos do funil Vendas,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"deals, system_health_logs","PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,piperun-vendas-status-hydrate,Hidrata status de deals de vendas a partir do PipeRun,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"deals, system_health_logs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,smart-ops-deal-form-note,Cria nota de form no deal,http,false,src: src/components/SmartOpsCourses.tsx:670; src/hooks/useEnrollment.ts:161,lia_attendances,"PIPERUN_API_KEY, PIPERUN_API_TOKEN, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,smart-ops-identity-dryrun,Dry-run do resolver de identidade/funil (diagnóstico),http,true,(NENHUM chamador encontrado),"lia_attendances, team_members","PIPERUN_API_KEY, PIPERUN_API_TOKEN, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
PipeRun/CRM,smart-ops-piperun-backfill-customfields,Backfill custom_fields PipeRun,http,true(default),(NENHUM chamador encontrado),lia_attendances,"PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
PipeRun/CRM,smart-ops-piperun-detach-wrong-person,Desanexa person incorreta de deal,http,true(default),(NENHUM chamador encontrado),"lead_activity_log, lia_attendances","PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
PipeRun/CRM,smart-ops-piperun-funnel-reconciler,Reconcilia funil/etapa PipeRun,cron,true(default),pg_cron: 20 * * * * (piperun-funnel-reconciler-hourly),"lia_attendances, system_health_logs","PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,smart-ops-piperun-preflight,Preflight validação antes de criar deal,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),lia_attendances,"PIPERUN_API_KEY, PIPERUN_API_TOKEN, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,smart-ops-piperun-retry-failed-leads,Retry de leads falhos no PipeRun,cron,false,pg_cron: */15 * * * * (retry-failed-leads-15min),"lia_attendances, system_health_logs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,smart-ops-preview-seller-note,Preview da nota do vendedor,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
PipeRun/CRM,smart-ops-sync-piperun,Sync canônico para PipeRun,http,false,src: src/components/SmartOpsTab.tsx:44; src/pages/AdminViewSecure.tsx:79 | pg_cron: */30 * * * * (sync-piperun-cron),"lia_attendances, system_health_logs","PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Social Publisher,social-caption-generator,Gera caption com IA,http,false,src: src/hooks/social/useGenerateCaption.ts:34,"products_catalog, resins, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Social Publisher,social-generate-image,Gera imagem social,http,true(default),src: src/components/social/editor/steps/StepMedia.tsx:76,,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",,False,False
Social Publisher,social-knowledge-fetch,Busca KB para social,http,true(default),src: src/hooks/social/useProductKnowledgeCopies.ts:25,,,,False,False
Social Publisher,social-post-auto-blast,Auto-blast: dispara publicação nova de social_posts para grupos WA (cron 10min),cron,false,pg_cron: */10 * * * * (social-post-auto-blast-10min),"cron_state, post_group_instance_config, post_group_targets, social_posts, wa_groups","LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, deno.land, esm.sh",False,False
Social Publisher,social-publish-worker,Worker de publicação social,cron,true(default),pg_cron: * * * * * (social-publish-worker),"social_scheduled_posts, social_zernio_accounts","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_API_KEY","deno.land, esm.sh, zernio.com",False,False
Social Publisher,training-factory-carousel,Pipeline geração de treinamento,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"training_factory_assets, training_factory_runs","LOVABLE_API_KEY, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, VERCEL_URL",ai.gateway.lovable.dev,False,False
Social Publisher,training-factory-generate-image,Pipeline geração de treinamento,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"training_factory_assets, training_factory_runs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",,False,False
Social Publisher,training-factory-publish,Pipeline geração de treinamento,http,false,src: src/components/smartops/TurmaFactoryDialog.tsx:174,"smartops_course_turmas, social_scheduled_posts, training_factory_assets, training_factory_runs, wa_groups","EVOLUTION_API_KEY, EVOLUTION_BASE_URL, EVOLUTION_INSTANCE, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",82.25.75.61,False,False
Social Publisher,training-factory-render,Pipeline geração de treinamento,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"training_factory_assets, training_factory_runs","LOGO_BRANCO_B64, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, VERCEL_URL",,False,False
Social Publisher,training-factory-trigger,Pipeline geração de treinamento,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"smartops_course_turmas, training_factory_assets, training_factory_runs","LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",ai.gateway.lovable.dev,False,False
Social Publisher,zernio-accounts-sync,Sync contas Zernio,cron,true(default),(NENHUM chamador encontrado),social_zernio_accounts,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_API_KEY","deno.land, esm.sh, zernio.com",True,False
Social Publisher,zernio-broadcast-dispatch,Dispatch broadcast Zernio,cron,true(default),src: src/components/social/broadcasts/SocialBroadcasts.tsx:233,"social_broadcasts, social_contacts, social_zernio_accounts","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_API_KEY","deno.land, esm.sh, zernio.com",False,False
Social Publisher,zernio-contacts-sync,Sync contatos Zernio,cron,true(default),src: src/components/social/broadcasts/SocialBroadcasts.tsx:128; src/components/social/broadcasts/SocialContacts.tsx:51 | pg_cron: */30 * * * * (zernio-contacts-sync-cron),social_contacts,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_API_KEY","deno.land, esm.sh, zernio.com",False,False
Social Publisher,zernio-metrics-sync,Sync métricas Zernio,cron,false,src: src/hooks/social/useSocialAnalytics.ts:40,social_posts,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_API_KEY","deno.land, esm.sh, zernio.com",False,False
Social Publisher,zernio-test-unpublish,Despublica posts de teste Zernio após janela definida,cron,true(default),(NENHUM chamador encontrado),social_scheduled_posts,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_API_KEY","deno.land, esm.sh, zernio.com",True,False
Stripe/Pagamentos,stripe-webhook,Webhook oficial Stripe (eventos de pagamento),webhook,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"lead_activity_log, lia_attendances, stripe_payment_units, stripe_webhook_events","STRIPE_SECRET_KEY, STRIPE_WEBHOOK_SECRET, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",,False,False
Utilitários,archive-daily-chats,Arquiva chats diários,cron,false,src: src/components/AdminApostilaImporter.tsx:470,agent_interactions,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Utilitários,create-technical-ticket,Cria ticket técnico,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"lead_activity_log, lia_attendances, team_members, technical_ticket_messages, technical_tickets","OPENROUTER_API_KEY, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, openrouter.ai",False,False
Utilitários,create-user,Cria usuário,http,true,src: src/components/AdminUsers.tsx:89,user_roles,"SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Utilitários,data-export,Export de dados,http,false,src: src/components/AdminSettings.tsx:553,"authors, brands, catalog_documents, external_links, knowledge_categories, knowledge_contents, knowledge_videos, models (+4)","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br, www.youtube.com",False,False
Utilitários,enrichment-safety-net-cron,Safety net para enrichment,cron,true(default),(NENHUM chamador encontrado),"enrichment_safety_queue, lia_attendances, system_health_logs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Utilitários,evaluate-interaction,Avalia interação,http,false,pg_cron: */2 * * * * (backfill-judge-evaluations),agent_interactions,"DEEPSEEK_API_KEY, LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, api.deepseek.com, deno.land, esm.sh",False,False
Utilitários,export-leads-full,Export completo de leads,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),export_jobs,"SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,flow-executor,Executor de fluxos,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"social_contacts, social_sessions","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, ZERNIO_API_KEY","deno.land, esm.sh, zernio.com",False,False
Utilitários,gate0-runtime-audit,"Função efêmera de auditoria de build (Gate 0), descartável",http,true(default),(NENHUM chamador encontrado),_gate0_runtime_audit,"SB_MANAGEMENT_PAT, SB_MGMT_PAT, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Utilitários,get-product-data,Busca dados de produto,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"resins, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, loja.smartdent.com.br",False,False
Utilitários,google-oauth-callback,OAuth callback Google,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),google_oauth_tokens,"GOOGLE_CLIENT_ID, GOOGLE_CLIENT_SECRET, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","admin.smartdent.com.br, oauth2.googleapis.com",False,False
Utilitários,google-reviews-pull,Pull manual de reviews,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),google_reviews,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","mybusiness.googleapis.com, mybusinessaccountmanagement.googleapis.com, mybusinessbusinessinformation.googleapis.com",False,False
Utilitários,google-reviews-respond,Responde review automaticamente,http,true(default),fn: google-reviews-pull,google_reviews,"LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, mybusiness.googleapis.com",False,False
Utilitários,mcp,Servidor MCP auto-gerado pelo plugin Lovable (não editar),http,true(default),(NENHUM chamador encontrado),"knowledge_base, lia_attendances",,,True,False
Utilitários,pipeline-funnel-data,Dados do funil,http,true(default),src: src/components/SmartOpsBowtie.tsx:216 | fn: smart-ops-copilot,deals,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,public-distributor-register,Registro público de distribuidor,http,false,src: src/pages/PublicDistributorRegister.tsx:57,"distributors, smart_form_rate_limit","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",,False,False
Utilitários,resubmit-sitemap-to-gsc,Resubmit sitemap no GSC,cron,true(default),pg_cron: */10 * * * * (resubmit-sitemap-to-gsc-every-10m),sitemap_resubmit_state,"GOOGLE_SEARCH_CONSOLE_API_KEY, LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","connector-gateway.lovable.dev, esm.sh, parametros.smartdent.com.br, print-params-hub.lovable.app",False,False
Utilitários,sequence-runner,Runner de sequência,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"social_sequence_enrollments, team_members","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, SYSTEM_A_KNOWLEDGE_URL","deno.land, esm.sh, evolution.smartdent.com.br",False,False
Utilitários,setup-distributor-bucket,Setup do bucket de distribuidor,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,short-link-redirect,Redirecionador de links curtos,webhook,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"campaign_send_log, short_links","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,short-link-resolve,Resolve link curto (device detection) para app/landing,webhook,true(default),(NENHUM chamador encontrado),"lead_page_views, smartops_short_links","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br",False,False
Utilitários,smart-ops-cs-processor,Processa CS Onboarding,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"cs_automation_rules, lia_attendances, message_logs, team_members","MANYCHAT_API_KEY, SELLFLUX_API_TOKEN, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api.manychat.com, esm.sh, waleads.roote.com.br",False,False
Utilitários,smart-ops-field-normalize,Normalização em massa de valores legados em campos de qualificação,http,false,src: src/hooks/reactivation/useFieldNormalizer.ts:16,"catalog_product_variations, deals, lia_attendances, meta_form_mappings, smartops_form_fields, system_a_catalog, system_health_logs, team_members","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,smart-ops-generate-card-descriptions,Gera descrições de cards,http,true(default),src: src/components/AdminCatalog.tsx:307,"system_a_catalog, system_health_logs","DEEPSEEK_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api.deepseek.com, esm.sh",False,False
Utilitários,smart-ops-ingest-asset-from-a,Ingest asset do Sistema A,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"marketing_assets, system_health_logs, whatsapp_templates","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,smart-ops-integration-check,Health-check de integrações,cron,true(default),src: src/components/smartops/SystemHealthCheck.tsx:97,"google_oauth_tokens, system_integration_checks, system_integration_registry, team_members","EVO_BASE_URL, EVO_KEY, GOOGLE_CLIENT_ID, GOOGLE_CLIENT_SECRET, LOVABLE_API_KEY, META_ADS_MANAGER_TOKEN, META_LEAD_ADS_TOKEN, PANDAVIDEO_API_KEY, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY (+3)","ai.gateway.lovable.dev, api-v2.pandavideo.com.br, api.zernio.com, esm.sh, graph.facebook.com, oauth2.googleapis.com (+1)",False,False
Utilitários,smart-ops-kanban-move,Move card no kanban,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,PIPERUN_API_KEY,,False,False
Utilitários,smart-ops-leads-api,API leads SmartOps,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"companies, deals, lead_activity_log, lead_opportunities, lia_attendances, people, product_taxonomy, smartops_form_field_responses (+4)","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,smart-ops-meta-ads-insights,Integração Meta Ads,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,"META_ADS_INSIGHTS_TOKEN, META_LEAD_ADS_TOKEN",graph.facebook.com,False,False
Utilitários,smart-ops-meta-ads-manager,Integração Meta Ads,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,"META_ADS_MANAGER_TOKEN, META_LEAD_ADS_TOKEN",graph.facebook.com,False,False
Utilitários,smart-ops-proactive-outreach,Outreach proativo,cron,false,pg_cron: 0 13 * * 1-5 (proactive-outreach-cron),"lia_attendances, message_logs, team_members","SELLFLUX_WEBHOOK_CAMPANHAS, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,smart-ops-refresh-system-a-cache,Refresh cache Sistema A,cron,false,src: src/components/admin/TechnicalSpecsEditor.tsx:110,system_a_catalog,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,smart-ops-stagnant-processor,Processa leads estagnados,cron,false,pg_cron: 0 */6 * * * (stagnant-processor-cron),"cs_automation_rules, lia_attendances, message_logs, whatsapp_inbox","DEEPSEEK_API_KEY, LOVABLE_API_KEY, MANYCHAT_API_KEY, PIPERUN_API_KEY, SELLFLUX_WEBHOOK_CAMPANHAS, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, api.deepseek.com, api.manychat.com, esm.sh",False,False
Utilitários,smart-ops-tldv-sync,Pipeline tldv,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),tldv_meetings,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL, TLDV_API_KEY","deno.land, esm.sh, pasta.tldv.io",False,False
Utilitários,sync-content-from-a,Sync conteúdo do Sistema A,cron,false,src: src/components/SmartOpsCampaigns.tsx:282,"content_bridge, system_a_content_library","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,sync-google-drive-kb,Sync KB do Google Drive,cron,false,src: src/components/AdminApostilaImporter.tsx:528,"drive_kb_sync_log, site_settings","GOOGLE_DRIVE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, www.googleapis.com",False,False
Utilitários,sync-google-reviews,Pull periódico de avaliações Google,cron,false,src: src/components/AdminSettings.tsx:524; src/components/social/reviews/SocialReviews.tsx:73,system_a_catalog,"GOOGLE_PLACES_API_KEY, LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, deno.land, esm.sh, maps.googleapis.com",False,False
Utilitários,sync-knowledge-base,Sync KB,cron,false,src: src/components/AdminSettings.tsx:488,"external_links, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, img.youtube.com",False,False
Utilitários,sync-sistema-a,Sync Sistema A,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),products_catalog,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários,system-watchdog-deepseek,Watchdog IA com DeepSeek,cron,false,src: src/components/SmartOpsSystemHealth.tsx:116,"ai_token_usage, leads, lia_attendances, system_health_logs","DEEPSEEK_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api.deepseek.com, esm.sh",False,False
Utilitários,verify-distributor-backlink,Verifica backlink,cron,true(default),src: src/components/smartops/SmartOpsDistributors.tsx:186,distributors,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","admin.smartdent.com.br, deno.land, esm.sh",False,False
Utilitários (Backfills),backfill-deal-proposals,Job de backfill (manual),http,false,src: src/components/smartops/KanbanLeadDetail.tsx:451,lia_attendances,"PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários (Backfills),backfill-deals-append,Job de backfill (manual),http,true(default),(NENHUM chamador encontrado),lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Utilitários (Backfills),backfill-hits-granular,Job de backfill (manual),http,true(default),(NENHUM chamador encontrado),"deals, lia_attendances, system_health_logs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Utilitários (Backfills),backfill-intelligence-score,Job de backfill (manual),http,false,src: src/components/SmartOpsIntelligenceDashboard.tsx:154,"backfill_log, lia_attendances","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários (Backfills),backfill-keywords,Job de backfill (manual),http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),knowledge_contents,"LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, deno.land, esm.sh",False,False
Utilitários (Backfills),backfill-lia-leads,Job de backfill (manual),http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"agent_interactions, agent_sessions, leads, lia_attendances","GOOGLE_AI_KEY, LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, deno.land, esm.sh",False,False
Utilitários (Backfills),backfill-ltv,Job de backfill (manual),http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários (Backfills),backfill-primary-deal,Job de backfill (manual),http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"lead_enrichment_audit, lia_attendances","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários (Backfills),backfill-stranded-won-deals,Job de backfill (manual),http,true(default),(NENHUM chamador encontrado),"lia_attendances, system_health_logs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Utilitários (Backfills),create-test-articles,Cria artigos teste,http,true,src: src/components/AdminLinkBuildingValidator.tsx:80,"knowledge_categories, knowledge_contents, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Utilitários (Backfills),fix-category-e-cleanup,Correção pontual,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),knowledge_contents,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Utilitários (Backfills),fix-corrupted-links,Correção pontual,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"knowledge_categories, knowledge_contents","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Utilitários (Backfills),import-leads-csv,Import manual,http,false,src: src/components/SmartOpsLeadImporter.tsx:201,lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
